"Product","Branch","City","Customer type","Quantity","Unit price","Payment","Rating"
"Home and lifestyle","Branch A","Yangon","Normal","4","66.56","E-wallet","4.2"
"Electronic accessories","Branch B","Mandalay","Member","5","22.49","UPI","3.2"
"Food and beverages","Branch C","Naypyitaw","Member","3","68.55","Cash","4"
"Electronic accessories","Branch A","Yangon","Normal","4","31.35","Credit card","4.6"
"Health and beauty","Branch B","Mandalay","Normal","5","36.82","Cash","3.8"
"Health and beauty","Branch C","Naypyitaw","Normal","5","62.14","Cash","4.8"
"Health and beauty","Branch A","Yangon","Member","3","52.93","E-wallet","5"
"Sports and travel","Branch B","Mandalay","Normal","4","38.07","Cash","3.5"
"Electronic accessories","Branch C","Naypyitaw","Normal","4","47.24","Cash","3.1"
"Fashion accessories","Branch A","Yangon","Member","3","71","Credit card","4.2"
"Sports and travel","Branch B","Mandalay","Normal","3","49.92","UPI","3.8"
"Electronic accessories","Branch C","Naypyitaw","Normal","9","47.71","Cash","4.2"
"Electronic accessories","Branch A","Yangon","Normal","1","39.9","E-wallet","3.2"
"Food and beverages","Branch B","Mandalay","Member","2","57.68","UPI","3.5"
"Electronic accessories","Branch C","Naypyitaw","Member","2","11.03","E-wallet","3.3"
"Home and lifestyle","Branch A","Yangon","Member","6","43.89","E-wallet","4.3"
"Fashion accessories","Branch B","Mandalay","Normal","9","68.4","Credit card","3.5"
"Home and lifestyle","Branch C","Naypyitaw","Normal","5","15.44","Cash","4.8"
"Sports and travel","Branch A","Yangon","Member","9","68.71","Credit card","3.1"
"Electronic accessories","Branch B","Mandalay","Member","2","54.8","Cash","4.1"
"Health and beauty","Branch C","Naypyitaw","Member","8","85.28","UPI","4.9"
"Health and beauty","Branch A","Yangon","Normal","9","45.39","Cash","3.7"
"Sports and travel","Branch B","Mandalay","Normal","8","84.3","E-wallet","3.3"
"Electronic accessories","Branch C","Naypyitaw","Member","1","38.12","UPI","3.4"
"Sports and travel","Branch A","Yangon","Member","4","83.76","E-wallet","3.7"
"Food and beverages","Branch B","Mandalay","Member","5","46.73","E-wallet","4.4"
"Sports and travel","Branch C","Naypyitaw","Normal","1","12.4","UPI","3.7"
"Electronic accessories","Branch A","Yangon","Normal","2","10.52","Credit card","3.1"
"Sports and travel","Branch B","Mandalay","Member","2","91.44","Cash","4.2"
"Fashion accessories","Branch C","Naypyitaw","Member","2","87.98","Credit card","4.9"
"Electronic accessories","Branch A","Yangon","Normal","3","30.15","Cash","4.1"
"Home and lifestyle","Branch B","Mandalay","Member","8","91.04","E-wallet","3.6"
"Electronic accessories","Branch C","Naypyitaw","Member","9","14.96","UPI","4"
"Sports and travel","Branch A","Yangon","Normal","3","87.57","E-wallet","4.6"
"Fashion accessories","Branch B","Mandalay","Normal","7","27.89","UPI","4.4"
"Fashion accessories","Branch C","Naypyitaw","Member","10","72.48","E-wallet","5"
